provider,account_alias,invoice_number,bill_date,meter_code,building,commodity,period_start,period_end,usage,unit,current_charge,usage_role,read_type,current_total
Example Electric,DEMO-E01 account,SYN-DEMO-E01-202603,2026-04-05,DEMO-E01,Demo Academic,electricity,2026-03-01,2026-04-01,9234,kWh,1727.12,consumption,actual,1727.12
Example Electric,DEMO-E02 account,SYN-DEMO-E02-202603,2026-04-05,DEMO-E02,Demo Residence,electricity,2026-03-01,2026-04-01,10602,kWh,1973.36,consumption,actual,1973.36
Example Electric,DEMO-E03 account,SYN-DEMO-E03-202603,2026-04-05,DEMO-E03,Demo Dining,electricity,2026-03-01,2026-04-01,7409,kWh,1398.62,consumption,actual,1398.62
Example Electric,DEMO-E04 account,SYN-DEMO-E04-202603,2026-04-05,DEMO-E04,Demo Athletics,electricity,2026-03-01,2026-04-01,5016,kWh,967.88,consumption,actual,967.88
Example Water,DEMO-W01 account,SYN-DEMO-W01-202603,2026-04-05,DEMO-W01,Demo Residence,water,2026-03-01,2026-04-01,55859,gal,567.73,consumption,actual,567.73
Example Water,DEMO-W02 account,SYN-DEMO-W02-202603,2026-04-05,DEMO-W02,Demo Dining,water,2026-03-01,2026-04-01,31349,gal,347.14,consumption,actual,347.14
Example Gas,DEMO-G01 account,SYN-DEMO-G01-202603,2026-04-05,DEMO-G01,Demo Dining,natural_gas,2026-03-01,2026-04-01,740,therm,1101.00,consumption,actual,1101.00
Example Fuel,DEMO-O01 account,SYN-DEMO-O01-202603,2026-04-05,DEMO-O01,Demo Academic,heating_oil,2026-03-01,2026-04-01,398,gal,1298.80,delivery,actual,1298.80
Example Supply,DEMO-E01 supply,SYN-SUP-202603,2026-04-05,DEMO-E01,Demo Academic,electricity,2026-03-01,2026-04-01,0,kWh,185.00,charges_only,unknown,185.00
Example Electric,DEMO-E01 account,SYN-DEMO-E01-202604,2026-05-05,DEMO-E01,Demo Academic,electricity,2026-04-01,2026-05-01,8748,kWh,1639.64,consumption,actual,1639.64
Example Electric,DEMO-E02 account,SYN-DEMO-E02-202604,2026-05-05,DEMO-E02,Demo Residence,electricity,2026-04-01,2026-05-01,10044,kWh,1872.92,consumption,actual,1872.92
Example Electric,DEMO-E03 account,SYN-DEMO-E03-202604,2026-05-05,DEMO-E03,Demo Dining,electricity,2026-04-01,2026-05-01,7020,kWh,1328.60,consumption,actual,1328.60
Example Electric,DEMO-E04 account,SYN-DEMO-E04-202604,2026-05-05,DEMO-E04,Demo Athletics,electricity,2026-04-01,2026-05-01,4752,kWh,920.36,consumption,actual,920.36
Example Water,DEMO-W01 account,SYN-DEMO-W01-202604,2026-05-05,DEMO-W01,Demo Residence,water,2026-04-01,2026-05-01,52920,gal,541.28,consumption,actual,541.28
Example Water,DEMO-W02 account,SYN-DEMO-W02-202604,2026-05-05,DEMO-W02,Demo Dining,water,2026-04-01,2026-05-01,29700,gal,332.30,consumption,actual,332.30
Example Gas,DEMO-G01 account,SYN-DEMO-G01-202604,2026-05-05,DEMO-G01,Demo Dining,natural_gas,2026-04-01,2026-05-01,702,therm,1047.80,consumption,actual,1047.80
Example Fuel,DEMO-O01 account,SYN-DEMO-O01-202604,2026-05-05,DEMO-O01,Demo Academic,heating_oil,2026-04-01,2026-05-01,378,gal,1236.80,delivery,actual,1236.80
Example Supply,DEMO-E01 supply,SYN-SUP-202604,2026-05-05,DEMO-E01,Demo Academic,electricity,2026-04-01,2026-05-01,0,kWh,185.00,charges_only,unknown,185.00
Example Electric,DEMO-E01 account,SYN-DEMO-E01-202605,2026-06-05,DEMO-E01,Demo Academic,electricity,2026-05-01,2026-06-01,8262,kWh,1552.16,consumption,actual,1552.16
Example Electric,DEMO-E02 account,SYN-DEMO-E02-202605,2026-06-05,DEMO-E02,Demo Residence,electricity,2026-05-01,2026-06-01,9486,kWh,1772.48,consumption,actual,1772.48
Example Electric,DEMO-E03 account,SYN-DEMO-E03-202605,2026-06-05,DEMO-E03,Demo Dining,electricity,2026-05-01,2026-06-01,6630,kWh,1258.40,consumption,actual,1258.40
Example Electric,DEMO-E04 account,SYN-DEMO-E04-202605,2026-06-05,DEMO-E04,Demo Athletics,electricity,2026-05-01,2026-06-01,4488,kWh,872.84,consumption,actual,872.84
Example Water,DEMO-W01 account,SYN-DEMO-W01-202605,2026-06-05,DEMO-W01,Demo Residence,water,2026-05-01,2026-06-01,49980,gal,514.82,consumption,actual,514.82
Example Water,DEMO-W02 account,SYN-DEMO-W02-202605,2026-06-05,DEMO-W02,Demo Dining,water,2026-05-01,2026-06-01,28050,gal,317.45,consumption,actual,317.45
Example Gas,DEMO-G01 account,SYN-DEMO-G01-202605,2026-06-05,DEMO-G01,Demo Dining,natural_gas,2026-05-01,2026-06-01,663,therm,993.20,consumption,actual,993.20
Example Fuel,DEMO-O01 account,SYN-DEMO-O01-202605,2026-06-05,DEMO-O01,Demo Academic,heating_oil,2026-05-01,2026-06-01,357,gal,1171.70,delivery,actual,1171.70
Example Supply,DEMO-E01 supply,SYN-SUP-202605,2026-06-05,DEMO-E01,Demo Academic,electricity,2026-05-01,2026-06-01,0,kWh,185.00,charges_only,unknown,185.00
Example Electric,DEMO-E01 account,SYN-DEMO-E01-202606,2026-07-05,DEMO-E01,Demo Academic,electricity,2026-06-01,2026-07-01,7695,kWh,1450.10,consumption,actual,1450.10
Example Electric,DEMO-E02 account,SYN-DEMO-E02-202606,2026-07-05,DEMO-E02,Demo Residence,electricity,2026-06-01,2026-07-01,8835,kWh,1655.30,consumption,actual,1655.30
Example Electric,DEMO-E03 account,SYN-DEMO-E03-202606,2026-07-05,DEMO-E03,Demo Dining,electricity,2026-06-01,2026-07-01,6175,kWh,1176.50,consumption,actual,1176.50
Example Electric,DEMO-E04 account,SYN-DEMO-E04-202606,2026-07-05,DEMO-E04,Demo Athletics,electricity,2026-06-01,2026-07-01,4180,kWh,817.40,consumption,actual,817.40
Example Water,DEMO-W01 account,SYN-DEMO-W01-202606,2026-07-05,DEMO-W01,Demo Residence,water,2026-06-01,2026-07-01,46550,gal,483.95,consumption,actual,483.95
Example Water,DEMO-W02 account,SYN-DEMO-W02-202606,2026-07-05,DEMO-W02,Demo Dining,water,2026-06-01,2026-07-01,26125,gal,300.12,consumption,actual,300.12
Example Gas,DEMO-G01 account,SYN-DEMO-G01-202606,2026-07-05,DEMO-G01,Demo Dining,natural_gas,2026-06-01,2026-07-01,617,therm,928.80,consumption,actual,928.80
Example Fuel,DEMO-O01 account,SYN-DEMO-O01-202606,2026-07-05,DEMO-O01,Demo Academic,heating_oil,2026-06-01,2026-07-01,332,gal,1094.20,delivery,actual,1094.20
Example Supply,DEMO-E01 supply,SYN-SUP-202606,2026-07-05,DEMO-E01,Demo Academic,electricity,2026-06-01,2026-07-01,0,kWh,185.00,charges_only,unknown,185.00
Example Electric,DEMO-E01 account,SYN-DEMO-E01-202607,2026-08-05,DEMO-E01,Demo Academic,electricity,2026-07-01,2026-08-01,7857,kWh,1479.26,consumption,actual,1479.26
Example Electric,DEMO-E02 account,SYN-DEMO-E02-202607,2026-08-05,DEMO-E02,Demo Residence,electricity,2026-07-01,2026-08-01,9021,kWh,1688.78,consumption,actual,1688.78
Example Electric,DEMO-E03 account,SYN-DEMO-E03-202607,2026-08-05,DEMO-E03,Demo Dining,electricity,2026-07-01,2026-08-01,6305,kWh,1199.90,consumption,actual,1199.90
Example Electric,DEMO-E04 account,SYN-DEMO-E04-202607,2026-08-05,DEMO-E04,Demo Athletics,electricity,2026-07-01,2026-08-01,4268,kWh,833.24,consumption,actual,833.24
Example Water,DEMO-W01 account,SYN-DEMO-W01-202607,2026-08-05,DEMO-W01,Demo Residence,water,2026-07-01,2026-08-01,47530,gal,492.77,consumption,actual,492.77
Example Water,DEMO-W02 account,SYN-DEMO-W02-202607,2026-08-05,DEMO-W02,Demo Dining,water,2026-07-01,2026-08-01,26675,gal,305.08,consumption,actual,305.08
Example Gas,DEMO-G01 account,SYN-DEMO-G01-202607,2026-08-05,DEMO-G01,Demo Dining,natural_gas,2026-07-01,2026-08-01,630,therm,947.00,consumption,actual,947.00
Example Fuel,DEMO-O01 account,SYN-DEMO-O01-202607,2026-08-05,DEMO-O01,Demo Academic,heating_oil,2026-07-01,2026-08-01,339,gal,1115.90,delivery,actual,1115.90
Example Supply,DEMO-E01 supply,SYN-SUP-202607,2026-08-05,DEMO-E01,Demo Academic,electricity,2026-07-01,2026-08-01,0,kWh,185.00,charges_only,unknown,185.00
